pop xdeg xmin xsec xdir ydeg ymin ysec ydir commune province
23 72 50 15 W 19 43 45 N TERRE_NEUVE ARTIBONITE
135 72 50 15 W 19 43 15 N TERRE_NEUVE ARTIBONITE
50 72 51 15 W 19 42 45 N TERRE_NEUVE ARTIBONITE
67 72 50 45 W 19 42 45 N TERRE_NEUVE ARTIBONITE
72 72 50 15 W 19 42 45 N TERRE_NEUVE ARTIBONITE
93 72 49 45 W 19 42 45 N TERRE_NEUVE ARTIBONITE
93 72 50 45 W 19 42 15 N TERRE_NEUVE ARTIBONITE
49 72 50 15 W 19 42 15 N TERRE_NEUVE ARTIBONITE
27 72 49 45 W 19 42 15 N TERRE_NEUVE ARTIBONITE
12 72 50 45 W 19 41 45 N TERRE_NEUVE ARTIBONITE
25 72 50 15 W 19 41 45 N TERRE_NEUVE ARTIBONITE
1679 72 49 45 W 19 41 45 N TERRE_NEUVE ARTIBONITE
6 72 51 15 W 19 41 15 N TERRE_NEUVE ARTIBONITE
13 72 50 45 W 19 41 15 N TERRE_NEUVE ARTIBONITE
71 72 50 15 W 19 41 15 N TERRE_NEUVE ARTIBONITE
59 72 49 45 W 19 41 15 N TERRE_NEUVE ARTIBONITE
40 72 49 15 W 19 41 15 N TERRE_NEUVE ARTIBONITE
51 72 52 15 W 19 40 45 N TERRE_NEUVE ARTIBONITE
40 72 51 45 W 19 40 45 N TERRE_NEUVE ARTIBONITE
13 72 51 15 W 19 40 45 N TERRE_NEUVE ARTIBONITE
40 72 50 45 W 19 40 45 N TERRE_NEUVE ARTIBONITE
60 72 50 15 W 19 40 45 N TERRE_NEUVE ARTIBONITE
1048 72 49 45 W 19 40 45 N TERRE_NEUVE ARTIBONITE
67 72 49 15 W 19 40 45 N TERRE_NEUVE ARTIBONITE
55 72 48 45 W 19 40 45 N TERRE_NEUVE ARTIBONITE
59 72 48 15 W 19 40 45 N TERRE_NEUVE ARTIBONITE
101 72 47 45 W 19 40 45 N TERRE_NEUVE ARTIBONITE
135 72 47 15 W 19 40 45 N TERRE_NEUVE ARTIBONITE
55 72 51 15 W 19 40 15 N TERRE_NEUVE ARTIBONITE
55 72 50 45 W 19 40 15 N TERRE_NEUVE ARTIBONITE
